,sentene,label,comprehensive,predicted,fat_skinny,response_Q1,response_Q2
1102,女人懷孕代價太大 變胖變醜工作可能消失 如,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。女人懷孕代價太大變胖變醜工作可能消失等語言表達出對女性的負面評論，並且這些評論是對於女性身體的，因此涉及身體羞辱的歧視。,這篇文章是歧視胖子的。
1103,是藍營的御用媒體？所以肥婆又變塔,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於肥婆的評論是負面的，並且使用了侮辱性的語言來表達。這樣的行为可能會使肥婆感到身體羞恥，並且可能會對肥婆的心理健康造成傷害。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章可能是歧視胖子的類型。
1104,自己瘦皮猴要檢討吧,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於自己的身體進行了評論，並且使用了負面語言來表達。這使得讀者對於作者的身體形象产生了歧視，讀者可能會認為作者對自己的身體進行評論是有意傷害，或者是惡意的羞辱。因此，這篇文章涉及到有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
1105,:還有大小屎是高職畢業生　連大學都不是...,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人對另一個人的評論，其中該評論包含對被評論者的身體的負面意見和評論。這種行為不符合身體羞辱定義中的範圍，因為身體羞辱是一種非重複性行為，加害者不請自來對目標身體表達負面意見或評論。因此，這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
1106,如果你家裡插座也是220V就不行,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，在這篇文章中，作者並未對插座的電壓檢視為身體羞辱的行為。因此，這篇文章沒有涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
1107,官僚系統就跟肥宅一樣虛胖,1,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對官僚系統進行了負面評論，並且說它跟肥宅一樣虛胖。這種評論可能會被讀者認為冒犯或具有負面意見，因此涉及身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1108,這情緒控管難怪無業,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來對目標身體表達負面意見或評論，但被害者認為該評論是負面、具有冒犯性或使其產生身體羞恥感。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
1109,話說我總覺得拜登比川普還像共和黨人,0,0,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於拜登和川普之間的差異並没有明确的指導，而是將其轉化為對於兩者的觀點之間的比較。這種比較的方式從一個中立的標準(人際關係)轉化為兩個具有政治意義的標準(政治派別)。這種情況下，該文章可能會被視為對於政治派別的偏見和偏觀，進而導致對於兩者的偏見和歧視。,這篇文章是歧視胖子的。
1110,因為他很胖啊幹,2,1,1,1,這篇文章涉及身體羞辱，因為它描述了一個人因為他的身體形狀而受到負面評論。這種行為可能會使被評論的人感到冒犯或羞恥，並且可能會影響他的自尊心。因此，這種行為可能涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1111,豬臉小胖子 真醜,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。該文中提到“豬臉小胖子”，這個詞語可能會被視為負面的評論，因此對於該文章的受害者(即該人)來說，這個詞語可能會產生身體羞恥感，進而導致歧視。,這篇文章是歧視胖子的類型。
1112,竹籤插貢丸也叫美,2,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。當加害者表達的意見或評論從善意的建議到惡意的羞辱時，身體羞辱的範圍從傳統美學到現實生活中的冒犯。因此，這篇文章並未涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
1113,一定是醜女 暴牙肥油,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人對另一個人的評論，其中包含了對其外貌的负面评价，這種評論可能會使被評論者感到冒犯或羞恥。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論，並且範圍從善意的建議到惡意的羞辱。,這篇文章是歧視胖子的類型。
1114,死胖妹  噁~,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於一個名叫噁的女孩進行了負面評論，並且使用了該女孩的名稱。這種行為可能會被誤解為對於噁女孩的羞辱，而實際上是對於身體羞辱的發表。因此，這篇文章可能會被視為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1115,普臉 瘦小乾扁沒奶 沒梗沒看點,2,1,0,0,這篇文章並未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章並沒有涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
1116,4%缺點就是缺人 什麼拐瓜劣棗都收,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章提到，如果某個地方的缺點是缺乏人數，那么政府可能會收錄一些拐瓜劣棗、醫療壓力大、環境污染等問題，這種行為可能會被視為對身體羞辱的惡意行為。因此，這篇文章的觀點可能會被一些人認為是對身體羞辱的惡意說法，因此可能會引起歧視。,這篇文章是歧視胖子的。
1117,沒奶，沒臉的貼這廢文幹麻？怒噓,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於一個沒奶、沒臉的廢物進行了侮辱，這樣的行为符合身體羞辱定義中的一個範圍，即對目標身體表達負面意見或評論。然而，這篇文章中作者對於廢物進行侮辱的行為，可能會讓一些人感到冒犯或覺得不適應，因此可能會涉及有關於歧視的問題。,這篇文章是歧視胖子的類型。
1118,其實沒很糟喇 若沒奶不會特別被注意,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於一個女性進行了負面評論，並且說如果她沒有奶，就不会特別被注意。這種行為符合身體羞辱的定义，因為在這種行為中，加害者對目標身體表達了負面意見或評論，並且該評論可能具有冒犯性或使其產生身體羞恥感。然而，這種行為並非從善意的建議到惡意的羞辱的範圍，因此它可能涉及有關於歧視的問題。,這篇文章是歧視胖子的。
1119,像是老闆歧視老幼婦孺胖瘦美醜都告訴大家,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。在這篇文章中，老闆對老幼婦孺、胖瘦美醜等身體特徵進行了歧視，並告訴大家這些身體特徵是可歧視的，這樣的行為符合身體羞辱的定义。,這篇文章可能是歧視胖子的類型。
1120,不是鳥仔腳 讚讚,2,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，但加害者不請自來對目標身體表達負面意見或評論，且範圍從善意的建議到惡意的羞辱。因此，該文章讓人們感到困惑，並且可能會對被羞辱的人產生身體羞恥感。,這篇文章是歧視胖子類型。
1121,78肥婆之流都可以了，還有什麼吞不下，,1,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。該文章主要表達的是對於某些評論或價值觀的負面看法，但並未使用具有歧視性的行為或語言。,Q1 判斷無歧視
1122,酒駕,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，該文章提到“酒駕”，這個詞彙在中文中並沒有明確的身體羞辱意義，因此可能會被視為有關於身體羞辱的歧視。,這篇文章是一篇有身體羞辱歧視的文章，判斷該文章是歧視胖子類型。
1123,難得被國民黨逮到痛點了 怕成這樣,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。在這篇文章中，該作者對國民黨逮到痛點的描述，被認為是對其負面意見或評論的表達，這樣的描述可能會使該作者的身體受到冒犯或羞恥，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1124,瘦到都是骨頭吃個屁，再養個十年,2,1,1,2,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。因為該文章用惡意的言語對目標身體進行羞辱，並且該羞辱是對於被羞辱者的負面評論。這種行為不符合身體羞辱的定義，並且可能對被羞辱者造成身體羞恥感。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
1125,，奶又小屁股塌，說希臘神淫亂算公道嗎,2,1,1,1,這篇文章涉及身體羞辱的歧視。該文章對於希臘神淫亂的評論是負面的，並且使用了具有冒犯性的語言來描述。這樣的行為可能會使該受害者感到身體羞恥和受到侮辱。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
1126,這粗勇？你是動漫鳥仔腳看太多吧,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，該作者對於一個對方表達負面意見或評論的方式，並且使用了侮辱性的言語，這樣對於被表達意見的對方來說，會產生身體羞恥感，進而涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1127,我覺得很可愛 臉圓才好 瘦巴巴瓜子臉,2,1,1,2,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人的外表，並且該人被描述為可愛、瘦巴巴和瓜子臉。這種描述可能會被視為對他人的負面評論，且可能會使該人產生身體羞恥感。因此，這篇文章可能涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
1128,台女瘦就有鳥仔腳了，可是大奶比較稀,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對台女進行了負面評論，並且用了一些惡意的比喻來形容她的身體。這樣的行為可能會使台女感到身體羞恥，並且引起她的壓力。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
1129,但不知道要槍決誰，笑死，法治國家。,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，但加害者不請自來對目標身體表達負面意見或評論。這種行為可能使被害者產生身體羞恥感，並且從善意的建議到惡意的羞辱，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1130,你是不是不想幹龍妹？,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，該問題涉及到對一個人的評論，但這個評論卻被該人認為是負面、具有冒犯性的，並且導致了身體羞恥感。這種行為被視為身體羞辱，因為它涉及到對目標身體的評論，且這種評論卻被認為是負面的。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1131,肥婆 我今天吃螃蟹,1,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，肥婆是一個對象，而我今天吃螃蟹是內容。內容和對象之間的關係不當，使得該內容被視為對肥婆的負面評論，進而導致歧視。,這篇文章是歧視胖子的類型。
1132,台灣的89不都瘦的跟排骨一樣,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對台灣的89年歲人群進行了評論，並且使用了負面語言表達。這使得讀者們對這群人產生了負面印象，並且認為這群人的身材比較瘦削。這種行為符合身體羞辱的定义，並且使得讀者們對這群人產生了負面印象。,這篇文章是歧視瘦子的。
1133,這身材在肌肉版叫做排骨瘦猴。,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於身材的描述是負面的，並且使用了“排骨瘦猴”這個詞語來形容。這種描述可能會被看做具有冒犯性的，因此可能會引起歧視。,這文章是歧視瘦子的。
1134,春年華的女孩兒，反觀醜陋肥宅呢？等人,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於春年華的女孩兒進行了反觀，並且使用了“醜陋肥宅”這個詞語來形容他們。這種行為可能會被誤解為對於春年華的女孩兒的侮辱，而實際上，這種詞語可能只是想表達作者對於這些人的看法。因此，這篇文章可能會被認為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
1135,拿一個醜又沒奶的出來幹什麼啦,2,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者用一個醜又沒奶的出來比喻一個人，並且該比喻被該人認為是冒犯性的。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
1136,肥 醜 又肥又醜,1,1,1,1,"根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。 ""肥"" 和 ""醜"" 是身體羞辱的範圍，但 ""又肥又醜"" 這個詞彙在這個定義中並沒有被認為是身體羞辱的行為。因此，這篇文章可能會被視為有關於身體羞辱的歧視。",這篇文章是歧視胖子類型。
1137,腿超粗,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，但加害者不請自來對目標身體表達負面意見或評論，並且這種評論可能具有冒犯性或使被害者產生身體羞恥感。因此，該文章可能會讓人認為有關於身體的評論是惡意的，並且涉及歧視。,這篇文章是歧視胖子的類型。
1138,台積電也不是靠台灣理組才有今天的成績,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。但這並不意味著被害者會認為該評論是負面、具有冒犯性或使其產生身體羞恥感。因此，身體羞辱的範圍從善意的建議到惡意的羞辱，並且這篇文章並沒有說明台積電是怎麼樣才取得今天的成績，因此並沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
1139,克里米亞快拿回來吧 俄擴張都為港,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，克里米亚被描述為俄擴張的“港”，這讓人們感到被冒犯和羞辱。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章有身體羞辱歧視的情況，可以判斷為歧視胖子類型。
1140,龍妹：給妳顏色瞧瞧，正妹：給妳顏射瞧,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，龍妹和正妹對同個人進行了不同的身體羞辱行為，這使得對於這個人的評價和意見存在歧視。由於身體羞辱是一種非重複性行為，因此這種歧視是經常見的。,這篇文章是歧視胖子的。
1141,材好的醜男絕對大勝醜肥宅,1,1,1,3,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於一個被稱為“醜男”的人，使用了負面評論和詞語，並且暗示這個人無法滿足某些標準，這樣的行為可以被視為對“醜男”這個區別的冒犯和侮辱，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視醜男。
1142,肥了醜了 就不要了!,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。肥和醜是兩種不同的身體現象，對於這些現象的評論可能會受到身體羞辱的影響。此外，這篇文章中的語境也讓人容易讀成對外貌的惡意評論，因此也會受到身體羞辱的影響。,這篇文章是歧視胖子的。
1143,沒奶子講個雞巴,2,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，該作者對於一個人使用了負面評論，並且這個評論涉及到對於這個人的身體的指責。這種行為可能會被視為身體羞辱，因為它們從善意到惡意地對待目標身體進行評論。因此，這種行為可能會被認為有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1144,樓下都跟比自己胖幾公斤的龍妹做愛?,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人對另一個人的評論，其中該評論涉及到對另一個人的身體的評論，並且這個評論是負面的、具有冒犯性的，並且該評論使該被害者產生身體羞恥感。這種行為符合身體羞辱的定義，並且可能涉及惡意的羞辱。,這篇文章是歧視胖子的。
1145,柯文哲是不是失職了? 還不叫車全載走?,0,0,0,0,這篇文章並沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。因此，這種行為並沒有涉及歧視。,Q1 判斷無歧視
1146,要夠正才有，不然龍妹，每人都會想閃,1,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來對目標身體表達負面意見或評論。然而，這篇文章並未提到任何有關於對龍妹的侮辱或惡意評論，因此沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
1147,暖,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，該文章未明確定義身體羞辱的範圍，因此可能會有歧視。,這篇文章是一篇有身體羞辱歧視的文章，判斷該文章是歧視胖子類型。
1148,為什麼這醜女肥龍會有工具人啊能不能告訴我你各位,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，該女肥龍被描述為一個“工具人”，這種行為被認為是對她的負面評論，且這種評論是具有冒犯性的。這種行為可能會使該女肥龍產生身體羞恥感，因此這種行為被視為惡意的身體羞辱。,這篇文章是歧視胖子的。
1149,肥婆,1,1,1,1,根據身體羞辱定義，肥婆是一種負面評論，因此該文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
1150,會躲在車底偷拍的 這貨不行啊,0,0,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於躲在車底偷拍的人表示惡意的評論，並且該評論是對於目標身體的負面意見或評論。這種行為不符合身體羞辱定義中的善意建議到惡意的羞辱範圍，因此涉及歧視。,這篇文章是歧視胖子的類型。
1151,你不敢當在野的聲音我就當你瘦皮猴,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人對另一個人的評論，其中該評論包含負面意見和侮辱性語言。這種行為不符合身體羞辱定義中的範圍，因為身體羞辱是一種非重複性行為，加害者不請自來對目標身體表達負面意見或評論。因此，這種行為可能被视为對被評論者的冒犯或侮辱。,這篇文章是歧視胖子的。
1152,勾惡就沒料也沒奶啊,2,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者用勾惡這個詞語來形容一個人，這個詞語在中文內具有負面意義，因此該詞語的使用可能會使一些人對這個人產生負面印象，進而涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
1153,骨感好重...=_=瘦不拉基,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於骨感美和瘦不拉基的評論可能會被視為負面的身體羞辱行為，因為這些評論可能會讓被評論者感到羞恥或冒犯。因此，這篇文章可能會引起有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
1154,差不多瘦皮猴而已吧,2,1,1,2,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於一個人稱呼為“瘦皮猴”這種負面評論，並且使用了侮辱性的詞語“而已吧”，這種行為符合身體羞辱的定义，並且帶有對被評論者的冒犯性和負面影響。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
1155,+9很多瘦皮猴 都是靠圍毆才得利,2,1,1,2,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，該文章卻以偏見的方式評論了瘦皮猴，並且該評論可能會使瘦皮猴產生身體羞恥感。因此，該文章有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
1156,幹  太瘦了吧  非洲難民?,2,1,1,2,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對非洲難民進行了評論，並且使用了身體羞辱的行為，例如「太瘦了吧」和「非洲難民？」這些行為具有負面意見，並且使非洲難民產生身體羞恥感。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的類型。
1157,我醜男不找龍妹要單身一輩子嗎,1,1,1,3,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人對另一個人的評論，其中該評論涉及到對另一個人的身體的負面意見和評論。這種行為可能會使被評論的人感到身體羞恥和冒犯，因此這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視醜男。
1158,愛台灣就要加入台灣對 唯一支持!!!,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，這篇文章並未表明加害者有意傷害被害者，並且未涉及惡意的羞辱。因此，這篇文章未涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
1159,這種8+9鳥仔腳有夠醜,2,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個對於8+9鳥仔腳的評論，其中該詞彙在中文中有不同的含義，可能會引起歧視。此外，該文章的語言使用也可能引起歧視，例如使用“夠醜”這個詞語，可能會被理解為有關性質的評論。因此，這篇文章可能會受到歧視的影響。,這篇文章是歧視胖子類型。
1160,有政府，不缺電，只會叫企業發電,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，在這篇文章中，政府的存在和電力充足是明顯的事实，這樣的陈述並沒有涉及身體羞辱。因此，這篇文章未涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
1161,照騙而已 本人見到後就是個瘦排骨....,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於被騙的兒童表示出惡意的評論，並且用侮辱性的語言描述他們的身體。這樣的行为會使兒童感到身體羞恥和不滿，並且可能對其心理產生負面影響。因此，這種行為是惡意的，並且涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
1162,最有趣的事這種人會比健身瘦皮猴健康,2,1,1,2,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於一個人將“健身瘦皮猴”這個詞語用來形容一個人，並且這個詞語被用來詐騙和侮辱一個人，這種行為是惡意的，且對被侮辱的人造成了負面影響。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的文章。
1163,沒奶子 不用看了,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。沒奶子這個行為不符合身體羞辱定義，因為身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。因此，沒奶子這個行為不符合身體羞辱的範圍。,這篇文章是歧視胖子的類型。
1164,還很愛對路過的女生品頭論足，胖的醜,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。該文章描述了一個人對路過的女生品頭論足，並且將其描述為“胖的醜”。這種行為符合身體羞辱的定义，因為它們是加害者不請自來對目標身體表達負面意見或評論。因此，該文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1165,你以為龍妹看得上你？,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章提到一個人對另一個人的評論，但這個評論卻被認為是負面、具有冒犯性的，並且使這個人產生身體羞恥感。這種行為被視為身體羞辱，因為它們是從善意建議到惡意羞辱的範圍。,這篇文章是歧視胖子的類型。
1166,水桶腰,1,1,1,1,根據身體羞辱定義，水桶腰是一種負面身體評論，因此該文章涉及有關於身體羞辱的歧視。水桶腰的身體形象可能會讓人對於身體健康產生負面意見，因此該身體羞辱的範圍從善意建議到惡意的羞辱都包括在內。,這篇文章有身體羞辱歧視的情況，可以判斷為歧視胖子類型。
1167,沒奶子又長得醜 跟你哭只想給她兩巴掌,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人長得醜陋，並且對於被描述的人表達了負面意見，這種行為符合身體羞辱定義中的所有範圍，包括善意的建議到惡意的羞辱。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
1168,台灣一堆扁奶怪，個性又機歪,2,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於台灣的一群扁奶怪進行了負面評論，並且使用了具有冒犯性的詞語。這樣的行为可能會使被該評論的受害者感到身體羞恥和受到惡意的羞辱。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1169,還真敢講,0,0,0,0,根據身體羞辱定義，該文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論，但被害者認為該評論是負面、具有冒犯性或使其產生身體羞恥感。因此，身體羞辱的範圍從善意的建議到惡意的羞辱，並且未涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
1170,反惡魔旅館不是應該po 紙片人系列,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對反惡魔旅館的行為表示了負面的評論，並且強調這種行為有關於身體羞辱。然而，作者並未提供任何具體的身體羞辱定義，因此這種行為可能不屬於身體羞辱的範圍。,這篇文章是歧視胖子的類型。
1171,對又醜又肥又臭又髒的當然沒感覺,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。對又醜又肥又臭又髒的當然沒感覺，這種行為可能會使受害者感到身體羞恥和冒犯，因此這種行為符合身體羞辱的定义。,這篇文章是歧視胖子的。
1172,肥婆國師會吧,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，肥婆國師被描述為一個負面評論的標籤，並且被該標籤所包含的訊息包括冒犯性和羞恥感。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，並且通常是以善意和建議為基礎的。,這篇文章是歧視胖子的類型。
1173,我覺得謝忻還比較丟臉，阿翔不帥又瘦皮猴,2,1,1,2,這篇文章涉及身體羞辱的歧視。該文章對於謝忻和阿翔的評論是負面的，並且使用了侮辱性的語言。因此，這篇文章可能會使一些人感到冒犯或羞恥。,這篇文章有身體羞辱歧視的風險，可以判斷為歧視瘦子。
1174,支那賤種超愛外遇肥婆,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，支那賤種被描述為“超愛外遇肥婆”，這種評論對於支那人來說是負面的，且具有冒犯性。這種行為不符合身體羞辱定義中的善意建議到惡意的羞辱範圍，因此這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
1175,真的就技術問題，這題還能55波也是神奇,0,0,3,3,"身體羞辱定義與歧視之間的關係可以分為兩個方面：

1. 身體羞辱的行為：根據身體羞辱定義，身體羞辱是一種非重複性行為，當加害者對目標身體表達負面意見或評論時，這種行為可以引起目標身體的羞恥、憤怒或生氣等情感反应。然而，這種行為並不一定有意傷害目標身體，而是當目標身體感受到負面意見或評論時，自然會做出反應。
2. 歧視的定義：歧視是指對同一事物或概念有不同的理解和看法，這種理解和看法可能會導致兩個人對同一事物或概念的看法不同，甚至互相攻擊。在這種情況下，兩個人對同一事物或概念的看法可能會涉及到身體羞辱的行為。

總之，身體羞辱的行為本身並不會導致歧視，而是當目標身體感受到負面意見或評論時，自然會做出反應。然而，如果身體羞辱的行為涉及到對目標身體的負面評論或評論，這種行為就可能引起歧視，因為兩個人對同一事物或概念的看法不同，甚至互相攻擊。

總之，根據身體羞辱定義判斷該文章是否涉及有關於身體羞辱的歧視，需要考慮文章所提到的身體羞辱行為是否涉及對目標身體的負面評論或評論，以及這些評論是否引起兩個人對同一事物或概念的看法不同，甚至互相攻擊。",Q1 無法判斷
1176,誰要找醜又沒$的，還沒奶就更慘,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，該作者對於找醜又沒$的和沒奶的人進行了侮辱，這種行為符合身體羞辱定義中的惡意行為，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
1177,扁奶滾啦幹,2,1,0,0,這篇文章並未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。因此，這種行為並不會使被害者產生身體羞恥感，也不會涉及惡意的羞辱。,Q1 判斷無歧視
